morpheme,occurrence,type
un,10677,prefix
non,9354,prefix
anti,3278,prefix
re,3076,prefix
pre,2529,prefix
sub,2241,prefix
micro,2025,neoclassical
over,1980,prefix
multi,1750,neoclassical
inter,1599,neoclassical
de,1597,prefix
super,1573,prefix
hyper,1512,neoclassical
in,1372,prefix
post,1370,neoclassical
bio,1264,prefix
co,1132,prefix
under,1079,prefix
pseudo,1072,prefix
mis,1055,prefix
semi,976,neoclassical
photo,933,neoclassical
intra,931,neoclassical
a,890,prefix
mono,884,neoclassical
poly,859,neoclassical
bi,798,prefix
auto,795,prefix
be,779,prefix
nano,772,neoclassical
neuro,769,neoclassical
di,739,neoclassical
para,693,neoclassical
dis,660,neoclassical
trans,654,neoclassical
out,640,prefix
immuno,621,neoclassical
tri,615,neoclassical
meta,607,neoclassical
iso,585,neoclassical
macro,574,neoclassical
pro,556,prefix
counter,555,prefix
hypo,539,neoclassical
peri,523,prefix
electro,504,prefix
cyber,498,prefix
neo,478,prefix
extra,459,prefix
fore,436,prefix
ultra,433,prefix
self,428,
radio,427,
mid,419,neoclassical
endo,415,neoclassical
mega,398,neoclassical
tele,379,neoclassical
hydro,370,neoclassical
hetero,368,neoclassical
paleo,360,neoclassical
supra,345,neoclassical
geo,339,neoclassical
proto,336,neoclassical
mini,329,prefix
en,322,prefix
thermo,315,neoclassical
hemi,288,neoclassical
e,287,prefix
homo,286,neoclassical
tetra,285,neoclassical
retro,280,neoclassical
cryo,277,neoclassical
eco,273,neoclassical
meso,267,neoclassical
uni,259,neoclassical
epi,255,neoclassical
quasi,254,neoclassical
up,253,prefix
chemo,246,neoclassical
psycho,232,neoclassical
oligo,227,neoclassical
cyto,226,neoclassical
palaeo,217,neoclassical
exo,213,neoclassical
pan,205,neoclassical
phyto,201,neoclassical
for,188,prefix
phospho,185,neoclassical
penta,173,neoclassical
cardio,172,neoclassical
organo,172,neoclassical
allo,170,neoclassical
cross,167,prefix
myo,164,neoclassical
equi,161,neoclassical
magneto,158,neoclassical
thio,157,neoclassical
ethno,156,neoclassical
ortho,155,neoclassical
osteo,155,neoclassical
cyclo,152,neoclassical
infra,151,neoclassical
aero,146,neoclassical
circum,141,neoclassical
socio,138,neoclassical
sero,134,neoclassical
hexa,131,neoclassical
an,129,prefix
after,128,
xeno,128,neoclassical
zoo,127,neoclassical
fluoro,126,neoclassical
dys,124,neoclassical
stereo,122,neoclassical
glyco,119,neoclassical
eigen,116,neoclassical
techno,114,
mal,113,neoclassical
astro,110,neoclassical
holo,110,neoclassical
milli,108,neoclassical
lipo,108,neoclassical
pyro,107,neoclassical
im,107,prefix
oxy,107,neoclassical
down,106,
mechano,106,neoclassical
chloro,106,neoclassical
per,103,prefix
normo,103,neoclassical
hemo,102,neoclassical
Euro,101,
