morpheme,occurrence,type,example
ly,13565,suffix,irreconcilably
ness,9505,suffix,color-blindness
er,7911,suffix,cyber-attacker
ic,4914,suffix,chlorotic
y,3698,suffix,combinatory
ist,3384,suffix,legalist
able,3330,suffix,yiffable
less,3300,suffix,smileyless
ism,3109,suffix,gameaholicism
like,3075,suffix,cheeklike
ing,2992,suffix,glistening
al,2974,suffix,irenical
ed,2944,suffix,crumpled
ally,2522,suffix,adaptationally
ity,2456,suffix,irreclaimability
eth,2224,suffix,ninetieth
est,1953,suffix,awesomest
ize,1921,suffix,Westernize
ian,1813,suffix,sabermetrician
ish,1592,suffix,snobbish
ation,1458,suffix,publication
an,1311,suffix,Antarctican
ful,1082,suffix,disrespectful
ion,1045,suffix,decannulation
ization,964,suffix,Westernization
ment,934,suffix,micromanagement
ship,900,suffix,starship
ite,899,suffix,thorite
ate,891,suffix,felicitate
ous,877,suffix,erythematous
ical,872,suffix,doxological
or,842,suffix,extrapolator
ability,815,suffix,eliminability
ive,763,suffix,recognitive
some,679,suffix,roomthsome
ess,665,suffix,lovelorness
man,649,suffix,helmsman
ee,606,suffix,flunkee
ise,577,suffix,discretise
s,540,suffix,bulwarks
ie,518,suffix,Katie
oid,505,suffix,lanthanoid
dom,495,suffix,unwisdom
hood,494,suffix,unlikelihood
ery,468,suffix,cajolery
wise,417,suffix,profitwise
en,412,suffix,warden
age,393,suffix,homepage
ling,391,suffix,signalling
let,380,suffix,coverlet
in,374,suffix,Ägypterin
esque,335,suffix,dilettantesque
istic,332,suffix,communistic
ry,312,suffix,meatpuppetry
ology,303,neoclassical,bacteriology
ification,294,suffix,classification
ase,290,suffix,ligase
ine,281,suffix,hemline
ary,271,suffix,dignitary
ese,271,suffix,Soudanese
yl,270,suffix,cellobiosyl
ward,265,suffix,godward
ify,259,suffix,dignify
cy,258,suffix,inarticulacy
proof,255,suffix,fungus-proof
ial,247,suffix,episomial
isation,238,suffix,Westernisation
head,227,suffix,heavyhead
ence,223,suffix,preadolescence
ette,220,suffix,briquette
ory,217,suffix,accessory
ar,217,suffix,alar
itis,214,suffix,pharyngitis
ware,207,suffix,schlockware
le,207,suffix,girdle
osis,198,neoclassical,diverticulosis
ectomy,186,neoclassical,pharyngectomy
o,180,native,manifesto
iform,175,,thyrsiform
ant,173,,recombinant
ville,173,,McClimansville
son,168,,grandson
ance,165,,resonance
th,162,,ninety-eighth
worthy,162,,lulz-worthy
land,156,,theatreland
ible,155,,deductible
ster,155,,feudster
ium,147,,Americium
gate,146,,floodgate
scape,145,,landscape
wards,139,,towards
fest,133,,slobberfest
ome,126,neoclassical,sphingolipidome
wear,122,,edgewear
work,117,,beadwork
woman,115,,Cornishwoman
ia,112,,Sinophilia
wide,111,,regionwide
on,108,,irenicon
side,108,,queenside
n,106,,silvern
ol,106,neoclassical,cholesterol
iferous,105,neoclassical,laminiferous
free,103,,frost-free
emia,103,neoclassical,erythrocythemia
tion,101,,supposition
ics,101,,aerodromics
ferous,101,neoclassical,pomiferous
ide,97,neoclassical,boride
cide,95,neoclassical,rodenticide
one,95,neoclassical,gonfalone
et,92,,baronet
eer,92,,mutineer
most,88,,uttermost
t,87,,antagonist
phobia,86,neoclassical,domophobia
speak,86,,newspeak
genic,83,neoclassical,ductulogenic
meter,82,neoclassical,meatometer
fy,81,,wintrify
uria,80,neoclassical,serumuria
oma,80,neoclassical,epithelioma
ton,75,,Stapleton
ative,74,,accusative
kind,72,,dwarfkind
ean,71,,Euclidean
craft,71,,seacraft
arian,67,,Trinitarian
genesis,67,neoclassical,kleptogenesis
